[TABLES]
## NEW_YORK_CITIBIKE.CITIBIKE_TRIPS
start_station_longitude: FLOAT | Start Station Longitude | eg=[-73.95928168, -74.01043382]
us_outline_geom: BINARY | NULL | eg=["bytearray(b'\\x01\\x06\\x00\\x00\\x00\"\\x01\\x00\\x00\\x01\\x03\\x00\\x00\\x00\\x01\\x00\\x00\\x00\\x92\\x15\\x00\\x00c\\x9f\\xc7(O\\x04e\\xc0\\xfd}\\xc6\\x85\\x03iP@\\xe6$\\x94\\xbe\\x10\\x04e\\xc0\\x99\\x0c\\xc7\\xf3\\x19hP@\\x0f\\xd0}93\\x03e\\xc0d\\xb1M*\\x1agP@\\xc9z1\\x94\\x13\\x03e\\xc0R\\xb0\\xc6\\xd9tfP@*U\\xa2\\xec-\\x03e\\xc0E\\xf5\\xd6\\xc0VfP@\\x93Y\\x84b+\\x03e\\xc0\\x9b\\x1ah>\\xe7eP@\\x15\\x95\\xd4\\th\\x02e\\xc0\\xb5\\xf8\\x14\\x00\\xe3dP@S\\xd4`\\x1a\\x86\\x01e\\xc0Ec\\xed\\xefldP@JI\\xd6\\xe1\\xe8\\xffd\\xc0\\x7fI*S\\xcccP@c\\x83L2\\xf2\\xfed\\xc0\\x03%\\x05\\x16\\xc0cP@-\\xaf\\\\o\\x1b\\xfdd\\xc0\\xb0\\ti\\x8dAcP@\\xc5\\xe7\\x15O=\\xfbd\\xc0\\x07\\x95\\xb8\\x8eqbP@\\x0e\\x13\\rR\\xf0\\xfad\\xc0%o\\x80\\x99\\xefaP@\\xcf\\xe30\\x98\\xbf\\xf6d\\xc0Z\\x115\\xd1\\xe7_P@\\xdauoE\\xe2\\xf3d\\xc0\\x17\\xeb\\x1b\\x98\\xdc]P@\\x93Z\\xef7\\xda\\xf3d\\xc0\\xfc\\xf9\\xb6`\\xa9]P@/\\x00Tqc\\xf2d\\xc0\\t\\x1a3\\x89z\\\\P@\\x990a4+\\xefd\\xc0\\xb2g\\xcfejZP@\\x8c\\xda\\xfd*\\xc0\\xecd\\xc0\\x7f\\xbb\\xec\\xd7\\x9dYP@\\x97\\x03\\x04st\\xe5d\\xc0.\\x16\\x86\\xc8\\xe9XP@\\xa5\\x18\\xe7oB\\xe3d\\xc0\\xbf\\x9c\\xd9\\xae\\xd0XP@\\xe0\\xc3\\xece\\xdb\\xe0d\\xc0\\xaeI\\xb7%rXP@\\xa1\\xfa\\xc..."]
name: TEXT | NULL | eg=["United States"]
geo_id: TEXT | NULL | eg=["US"]

## GEO_US_BOUNDARIES.RAILWAYS
railway_geom: TEXT | NULL | eg=[{"type":"LineString","coordinates":[[-85.756163,30.789894],[-85.749904,30.79131299999999],[-85.74871499999999,30.79155899999999],[-85.74010599999998,30.79322499999998],[-85.73695699999999,30.793934],[-85.736812,30.79396699999999],[-85.735137,30.79429],[-85.73469899999999,30.79452799999998],[-85.730451,30.79541499999998],[-85.72664999999999,30.79618299999999],[-85.72593499999999,30.79632699999999],[-85.72435899999999,30.79647599999999],[-85.72298599999999,30.79634799999999],[-85.72159299999998,30.79626999999998],[-85.71938999999999,30.79606399999999],[-85.71445399999998,30.79571999999998],[-85.712805,30.79557799999998],[-85.70494399999998,30.79490399999998],[-85.702379,30.794684],[-85.69897499999999,30.79436199999998],[-85.69579699999998,30.79413699999998],[-85.69317199999999,30.79394299999998],[-85.69315299999998,30.79394199999999],[-85.69268699999999,30.79390899999998],[-85.687477,30.79337899999999],[-85.687269,30.793357],[-85.686022,30.79321999999999],[-85.685447,30.79305399999999..., {"type":"LineString","coordinates":[[-86.88663299999997,41.08432899999999],[-86.886527,41.08253899999999],[-86.886476,41.08166599999999],[-86.88644599999999,41.08072599999999],[-86.886437,41.07983],[-86.88639599999999,41.07893699999999],[-86.88622399999998,41.07485499999998],[-86.88606099999998,41.07129199999998],[-86.88602699999998,41.06489099999999],[-86.88579099999998,41.056159],[-86.88535499999999,41.04620599999999],[-86.885333,41.04552899999999],[-86.88475499999998,41.02705999999999],[-86.884726,41.026021],[-86.884312,41.01562399999999],[-86.884151,41.01248199999999],[-86.88374499999999,41.00551399999999],[-86.883698,41.00463699999999],[-86.883664,41.00250899999999],[-86.88362899999998,41.000039],[-86.883253,40.99828799999999],[-86.88332599999998,40.99808499999999],[-86.88297,40.988005],[-86.882913,40.98750499999999]]}]
mtfcc_feature_class_code: TEXT | NULL | eg=["R1011"]
geo_id: NUMBER | NULL | eg=[11094844118, 110168314233]
full_name: TEXT | NULL | eg=["Louisville and Nashville RR"]

## GEO_US_BOUNDARIES.COUNTIES
county_gnis_code: TEXT | NULL | eg=["01581101", "01581110"]
cbsa_fips_code: TEXT | NULL | eg=["11540"]
lsad_code: TEXT | NULL | eg=["06"]
mtfcc_feature_class_code: TEXT | NULL | eg=["G4020"]
fips_class_code: TEXT | NULL | eg=["H1"]
int_point_lon: FLOAT | NULL | eg=[-90.6199687, -90.3596497]
county_geom: BINARY | NULL | eg=["bytearray(b'\\x01\\x03\\x00\\x00\\x00\\x01\\x00\\x00\\x00x\\x04\\x00\\x00K\\x92\\xe7\\xfa>\\xbaV\\xc0\\xe5\\xcb\\x0b\\xb0\\x8f\\xf4E@\\x8c\\x9b\\x1ah>\\xbaV\\xc0\\xbc\\x8a\\x8c\\x0eH\\xf4E@\\x04\\xe6!S>\\xbaV\\xc0\\xaf\\x8b\\xa2\\x07>\\xf4E@E\\xd5\\xaft>\\xbaV\\xc0\\x84\"\\xdd\\xcf)\\xf4E@\\xce\\x8a\\xa8\\x89>\\xbaV\\xc0\\xc8\\\\\\x19T\\x1b\\xf4E@\\xb6H\\xda\\x8d>\\xbaV\\xc0q\\xad\\xf6\\xb0\\x17\\xf4E@W@\\xa1\\x9e>\\xbaV\\xc0;\\x1b\\xf2\\xcf\\x0c\\xf4E@\\'\\xbc\\x04\\xa7>\\xbaV\\xc0\\xe2k\\xcf,\\t\\xf4E@\\x0fz6\\xab>\\xbaV\\xc0\\xfdc!:\\x04\\xf4E@\\x80\\xed`\\xc4>\\xbaV\\xc0\\xdc\\xd8\\xecH\\xf5\\xf3E@8\\'\\xf6\\xd0>\\xbaV\\xc0\\xf6\\xd0>V\\xf0\\xf3E@\\t\\xa3Y\\xd9>\\xbaV\\xc0\\xa2\\xaa\\t\\xa2\\xee\\xf3E@\\xc1\\xdc\\xee\\xe5>\\xbaV\\xc0\\xd5b\\xf00\\xed\\xf3E@2P\\x19\\xff>\\xbaV\\xc0\\x1d\\xab\\x94\\x9e\\xe9\\xf3E@\\xeb\\x89\\xae\\x0b?\\xbaV\\xc0\\x9a\\x00\\xc3\\xf2\\xe7\\xf3E@\\x03\\xcc|\\x07?\\xbaV\\xc0\\xd5fc%\\xe6\\xf3E@K\\x92\\xe7\\xfa>\\xbaV\\xc0\\x8d\\x99D\\xbd\\xe0\\xf3E@K\\x92\\xe7\\xfa>\\xbaV\\xc0\\xc8\\xff\\xe4\\xef\\xde\\xf3E@K\\x92\\xe7\\xfa>\\xbaV\\xc0\\xd1\\xf0f\\r\\xde\\xf3E@2P\\x19\\xff>\\xbaV\\xc0\\xb3?Pn\\xdb\\xf3E@\\x1b\\x0eK\\x03?\\xbaV\\xc0\\x88\\xac5\\x94\\xda\\xf3E@\\x1b\\...", "bytearray(b'\\x01\\x03\\x00\\x00\\x00\\x01\\x00\\x00\\x00\\xaa\\x05\\x00\\x00\\x04q\\x1eN`\\xabV\\xc0\\r |(\\xd1\\xdcF@\\x04q\\x1eN`\\xabV\\xc0\\xe3\\x8caN\\xd0\\xdcF@\\x04q\\x1eN`\\xabV\\xc0\\x083m\\xff\\xca\\xdcF@\\x04q\\x1eN`\\xabV\\xc0\\x16\\x15q:\\xc9\\xdcF@\\x04q\\x1eN`\\xabV\\xc0\\x16}\\x05i\\xc6\\xdcF@\\x04q\\x1eN`\\xabV\\xc0\\xcf\\xd0?\\xc1\\xc5\\xdcF@\\x04q\\x1eN`\\xabV\\xc0\\x1c\\xb5\\xc2\\xf4\\xbd\\xdcF@\\x04q\\x1eN`\\xabV\\xc0\\x1c\\x1dW#\\xbb\\xdcF@\\x1b\\xb3\\xecI`\\xabV\\xc0\\xe3#)\\xe9a\\xdcF@\\x1b\\xb3\\xecI`\\xabV\\xc0\\xba\\xe4\\x7f\\xf2w\\xdbF@\\x1b\\xb3\\xecI`\\xabV\\xc0?8\\x9f:V\\xdbF@\\x1b\\xb3\\xecI`\\xabV\\xc0\\xd8\\xba\\xd4\\x08\\xfd\\xdaF@\\x1b\\xb3\\xecI`\\xabV\\xc0*I\\x9e\\xeb\\xfb\\xdaF@5\\xf5\\xbaE`\\xabV\\xc0\\x01\\xb2\\xd7\\xbb?\\xdaF@5\\xf5\\xbaE`\\xabV\\xc0\\x9b\\xdb\\x84{e\\xd8F@5\\xf5\\xbaE`\\xabV\\xc0\\x85\\x97\\xe0\\xd4\\x07\\xd8F@5\\xf5\\xbaE`\\xabV\\xc0\\xff\\xc53h\\xe8\\xd7F@5\\xf5\\xbaE`\\xabV\\xc0\\x7f\\nG\\x90J\\xd7F@W\\xcb\\x9d\\x99`\\xabV\\xc0\\x96\\xc4Y\\x115\\xd7F@\\xc1MF\\x95a\\xabV\\xc0\\xee]\\x83\\xbe\\xf4\\xd6F@u\\xb0\\xfe\\xcfa\\xabV\\xc05U\\xf7\\xc8\\xe6\\xd6F@\\xe5#)\\xe9a\\xabV\\xc0\\xa4\\x0f]P\\xdf\\xd6F@\\x0f\\xd1\\xe8\\x0eb\\..."]
geo_id: TEXT | NULL | eg=["55081", "55099"]
lsad_name: TEXT | NULL | eg=["Monroe County", "Price County"]
int_point_geom: BINARY | NULL | eg=["bytearray(b'\\x01\\x01\\x00\\x00\\x00\\xcb\\xc22\\x91\\xad\\xa7V\\xc0-\\xbfg\\x7f\\xfb\\xf8E@')", "bytearray(b'\\x01\\x01\\x00\\x00\\x00\\n\\xe1,\\x80\\x04\\x97V\\xc0v\\x8e\\x01\\xd9\\xeb\\xd6F@')"]
county_fips_code: TEXT | NULL | eg=["55081", "55099"]
area_water_meters: NUMBER | NULL | eg=[18586826, 62098964]
functional_status: TEXT | NULL | eg=["A"]
state_fips_code: TEXT | NULL | eg=["55"]
csa_fips_code: TEXT | NULL | eg=["118"]
area_land_meters: NUMBER | NULL | eg=[2333329706, 3247987842]
met_div_fips_code: TEXT | NULL
county_name: TEXT | NULL | eg=["Monroe", "Price"]
int_point_lat: FLOAT | NULL | eg=[43.9451751, 45.6790725]

## GEO_US_BOUNDARIES.NWS_FORECAST_REGIONS
fe_area: TEXT | NULL | eg=["wu", "nr"]
name: TEXT | NULL | eg=["Keweenaw", "Ontonagon"]
cwa: TEXT | NULL | eg=["MQT"]
shape_geometry: BINARY | NULL | eg=["bytearray(b'\\x01\\x06\\x00\\x00\\x00;\\x00\\x00\\x00\\x01\\x03\\x00\\x00\\x00\\x01\\x00\\x00\\x00\\x0c\\x00\\x00\\x00\\x008\\x81\\xdf\\xa2&V\\xc0\\xb1 \\xff\\xffQ\\x12H@\\xc4Q\\x81\\xdf\\xdb&V\\xc0\\xc8\\x87\\xff\\xff5\\x12H@\\xf4b\\x81\\xdf\\x01\\'V\\xc0\\xa8\\x9a\\x00\\x00\\x16\\x12H@,I\\x81\\xdf\\x08\\'V\\xc0Ix\\x00\\x00\\n\\x12H@,I\\x81\\xdf\\x08\\'V\\xc0a\\xdf\\x00\\x00\\xee\\x11H@(\\xafb\\xdf\\x18\\'V\\xc0\\xf0T2\\x00\\xd4\\x11H@\\xb8\\'\\x00\\xe0\\xe7&V\\xc0P\\xbb\\xff\\xff\\xe7\\x11H@4\\x86\\x00\\xe0X&V\\xc0Gx\\x00\\x00J\\x12H@\\x08\\xc0\\xc7\\xdfd&V\\xc0\\xd9\\x9e\\xda\\xffQ\\x12H@\\x14J\\x00\\xe0s&V\\xc0Hx\\x00\\x00J\\x12H@\\xacR\\x00\\xe0\\x86&V\\xc0\\xc0D\\x00\\x00X\\x12H@\\x008\\x81\\xdf\\xa2&V\\xc0\\xb1 \\xff\\xffQ\\x12H@\\x01\\x03\\x00\\x00\\x00\\x01\\x00\\x00\\x00\\x0c\\x00\\x00\\x00i\\xda\\xff\\xdf<#V\\xc0_\\xdf\\x00\\x00\\xee\\x14H@ \\x1f\\x00\\xe04#V\\xc0\\xb8\\x01\\x01\\x00\\xfa\\x14H@\\xf0f\\x11\\xe0-#V\\xc0\\xe0\\x8d\\xd0\\xff\\r\\x15H@\\xf8\\xa5\\x80\\xdf?#V\\xc00\\xce\\x00\\x00\\x08\\x15H@\\x80\\xd9\\x80\\xdfQ#V\\xc0\\xa8\\xdd\\xff\\xff\\xf3\\x14H@,\\xfa\\x7f\\xdfc#V\\xc0P\\xbb\\xff\\xff\\xe7\\x14H@\\xd0&\\x81\\xdf|#V\\xc0\\xe8\\x12\\x01\\x00\\xe0\\x14H@T\\xc8\\x80\\xdf\\x...", "bytearray(b'\\x01\\x03\\x00\\x00\\x00\\x01\\x00\\x00\\x00n\\x01\\x00\\x00H\\x9e\\xff\\xdf\\xb7;V\\xc0\\xa0\\x85\\xff?\\xd1\\x82G@\\xdcF\\x00\\xc0\\xbc;V\\xc0@c\\xff?\\x05\\x84G@0=\\x00`\\xd7;V\\xc0\\x89\\xbe\\xff\\x1f\\xbf\\x83G@\\xb3\\x96\\x02\\xd2\\xfe;V\\xc0\\x85\\x07\\xcd\\xae{\\x83G@<\\xc6\\x15\\x17G<V\\xc0\\xb4Y\\xf5\\xb9\\xda\\x82G@`\\xcb\\xff\\x9f\\xbb<V\\xc0\\xb8\\x12\\xff\\x1f\\x03\\x82G@\\x90\\xe4\\xf2\\x1f\\xd2<V\\xc0t\\t\\x87\\xde\\xe2\\x81G@\\x9c\\x17\\x00@\\xd4<V\\xc0X\\xad\\xff\\x1f\\xd9\\x81G@\\x0c\\x02\\xe1\\xf9\\xdb<V\\xc0\\xe8G\\x8c\\xa3\\xd4\\x81G@\\x0eg~5\\x07=V\\xc0~\\x84a\\xc0\\x92\\x81G@D\\xbb\\xff\\xff\\'=V\\xc0h\\xe8\\xff\\xbfk\\x81G@2\\xae\\xb88*=V\\xc070\\xb9Qd\\x81G@\\xc4\\xd5\\x95\\xbd/=V\\xc0o\\x07g\\x80c\\x81G@<\\x9f\\x01\\xf5f=V\\xc0\\xcb\\x12\\x9de\\x16\\x81G@\\xc0\\x11\\x19`\\x83=V\\xc0 \\x8d_\\xbf\\xfa\\x80G@\\x87\\xa6\\xec\\xf4\\x83=V\\xc0\\xd6\\x01\\x10w\\xf5\\x80G@\\x84\\xf0h\\xe3\\x88=V\\xc0\\xd6\\x01\\x10w\\xf5\\x80G@\\xa0w\\xff_\\xc2=V\\xc0\\xe01\\xff\\xff\\xb7\\x80G@\\x00\\xa9M\\x9c\\xdc=V\\xc0\\x00\\xfe)U\\xa2\\x80G@\\xd8\\x83I\\xf1\\xf1=V\\xc0t\\xd3f\\x9c\\x86\\x80G@&\\xa6\\x0b\\xb1\\xfa=V\\xc0\\x03\\x94\\x86\\x1a\\x85\\x80G@\\xc1\\xe3\\xdb\\xbb..."]
shortname: TEXT | NULL | eg=["Keweenaw", "Ontonagon"]
lon: FLOAT | NULL | eg=[-88.4287, -89.315]
state_zone: TEXT | NULL | eg=["MI001", "MI002"]
state: TEXT | NULL | eg=["MI"]
zone: TEXT | NULL | eg=["001", "002"]
time_zone: TEXT | NULL | eg=["E", "C"]
lat: FLOAT | NULL | eg=[47.6104, 46.6644]

## GEO_US_BOUNDARIES.ZIP_CODES
area_land_meters: FLOAT | NULL | eg=[137409956.0, 57085147.0]
internal_point_lat: FLOAT | NULL | eg=[36.6070441, 47.2969474]
zip_code: TEXT | NULL | eg=["24586", "98335"]
area_water_meters: FLOAT | NULL | eg=[646363.0, 27538317.0]
state_code: TEXT | NULL | eg=["VA", "WA"]
fips_class_code: TEXT | NULL | eg=["B5"]
zip_code_geom: BINARY | NULL | eg=["bytearray(b'\\x01\\x03\\x00\\x00\\x00\\x01\\x00\\x00\\x00\\xa5\\x10\\x00\\x00RZ\\x7fK\\x00\\xd7S\\xc0\\xd9+,\\xb8\\x1fNB@i4\\xb9\\x18\\x03\\xd7S\\xc0\\x04\\x8fo\\xef\\x1aNB@w\\x98\\xf6\\xcd\\xfd\\xd6S\\xc0\\xb2\\x17\\n\\xd8\\x0eNB@\\xaf\\x8fN]\\xf9\\xd6S\\xc0\\xfd\\x97k\\xd1\\x02NB@\\t\\xdbO\\xc6\\xf8\\xd6S\\xc0h\\x82\\xa8\\xfb\\x00NB@\\xd2\\xfa[\\x02\\xf0\\xd6S\\xc0r\\xa7t\\xb0\\xfeMB@\\x87\\xdc\\x0c7\\xe0\\xd6S\\xc0\\xe6\\xb6}\\x8f\\xfaMB@=C8f\\xd9\\xd6S\\xc0\\xf2\\x98\\x81\\xca\\xf8MB@\\\\\\x90-\\xcb\\xd7\\xd6S\\xc0\\x03\\x04s\\xf4\\xf8MB@:<\\x84\\xf1\\xd3\\xd6S\\xc0g\\xc9\\xe3i\\xf9MB@65\\xd0|\\xce\\xd6S\\xc0\\x0f~\\xe2\\x00\\xfaMB@\\xba\\xf6\\x05\\xf4\\xc2\\xd6S\\xc0\\x9b\\xd6mP\\xfbMB@{\\xd7\\xa0/\\xbd\\xd6S\\xc0\\x14\\x07\\xd0\\xef\\xfbMB@\\xe8]\\xbc\\x1f\\xb7\\xd6S\\xc0*/\\xf9\\x9f\\xfcMB@\\x92\\xc8>\\xc8\\xb2\\xd6S\\xc00\\xec0&\\xfdMB@<Mf\\xbc\\xad\\xd6S\\xc0\\x81\\xd8\\x99B\\xe7MB@7\\x90.6\\xad\\xd6S\\xc02\\xe6\\xae%\\xe4MB@\\x12\\xbaK\\xe2\\xac\\xd6S\\xc0\\xeam3\\x15\\xe2MB@\\x1e\\x82\\xaa\\xd1\\xab\\xd6S\\xc0\\xfcS\\xaaD\\xd9MB@\\xb0\\xaa^~\\xa7\\xd6S\\xc07/N|\\xb5MB@p#e\\x8b\\xa4\\xd6S\\xc0\\x92@\\x83M\\x9dMB@5\\x0b\\xb4;\\xa4\\xd6S\\xc0\\x04\\x1cB\\x95\\x9aMB@v.\\x8c\\xf4\\...", "bytearray(b'\\x01\\x03\\x00\\x00\\x00\\x01\\x00\\x00\\x00<\\x01\\x00\\x00\\x02\\x8d`\\xe3\\xfa\\xad^\\xc0\\x9ce\\x16\\xa1\\xd8\\xa4G@\\xb5Z\\xee\\xcc\\x04\\xae^\\xc0\\xca w\\x11\\xa6\\xa4G@\\x17\\xc8zj\\xf5\\xad^\\xc0\\x80d:tz\\xa4G@\\xc7W\\xc9\\xc7\\xee\\xad^\\xc0#C\\x8e\\xadg\\xa4G@\\x12\\xfa\\x99z\\xdd\\xad^\\xc0\\x90\\xb92\\xa86\\xa4G@h\\x08\\xc7,{\\xad^\\xc0\\xd8\\t/\\xc1\\xa9\\xa3G@\\xb8\\xbdk\\xd0\\x97\\xab^\\xc0whX\\x8c\\xba\\xa2G@h.\\xfe\\xb6\\'\\xab^\\xc05\\xc8$#g\\xa3G@@\\xc20`\\xc9\\xaa^\\xc0,\\xcb\\xd7e\\xf8\\xa3G@\\xe0 \\xe8hU\\xaa^\\xc0\\x10\\xa6(\\x97\\xc6\\xa3G@9\\x1b\\xb9nJ\\xaa^\\xc0\\xad|\\x96\\xe7\\xc1\\xa3G@\\x91\\x88)\\x91D\\xaa^\\xc0\\x02?\\xaaa\\xbf\\xa3G@\\xea+\\xd6p\\x91\\xa9^\\xc0s\\x17a\\x8ar\\xa3G@\\xe3\\xe1=\\x07\\x96\\xa9^\\xc0\\xf5\\xbb\\xb05[\\xa3G@\\x82\\x96<\\x9e\\x96\\xa9^\\xc0T,~SX\\xa3G@\\x0c!\\xe7\\xfd\\x7f\\xa9^\\xc0\\x8e\\xa5\\x0f]P\\xa3G@\\xf4\\xe0|\\xeaX\\xa9^\\xc0\\'\\'\\xdaUH\\xa3G@M\\x9bq\\x1a\\xa2\\xa8^\\xc0\\xe4\\xb9\\xbe\\x0f\\x07\\xa3G@\\x16\\xf9\\xf5Cl\\xa8^\\xc0\\x96\\xae`\\x1b\\xf1\\xa2G@\\x1dB\\x95\\x9a=\\xa8^\\xc0\\x87*\\xfc\\x19\\xde\\xa2G@\\xb4\\x0f@j\\x13\\xa8^\\xc0\\r\\xbcZ\\xee\\xcc\\xa2G@\\xc3H/j\\xf7\\xa7^\\xc0\\xde\\x14V*\\xa8..."]
state_fips_code: TEXT | NULL | eg=["51", "53"]
county: TEXT | NULL | eg=["Pittsylvania", "Pierce County"]
functional_status: TEXT | NULL | eg=["S"]
state_name: TEXT | NULL | eg=["Virginia", "Washington"]
internal_point_geom: BINARY | NULL | eg=["bytearray(b'\\x01\\x01\\x00\\x00\\x00t\\xf1\\x12\\xf7\\xb3\\xd1S\\xc0i]\\xfe\\x9e\\xb3MB@')", "bytearray(b'\\x01\\x01\\x00\\x00\\x00\\x9a\\xb2\\xd3\\x0f\\xea\\xa7^\\xc0\\xed\\xd0U_\\x02\\xa6G@')"]
mtfcc_feature_class_code: TEXT | NULL | eg=["G6350"]
internal_point_lon: FLOAT | NULL | eg=[-79.2766092, -122.623661]
city: TEXT | NULL | eg=["Ringgold", "Wollochet CDP, Rosedale CDP, Gig Harbor city, Artondale CDP, Raft Island CDP"]

## GEO_US_BOUNDARIES.COASTLINE
coastline_geom: BINARY | NULL | eg=["bytearray(b'\\x01\\x02\\x00\\x00\\x00\\x0e\\x00\\x00\\x00\\xea\\xe1\\xcbD\\x11\\xf9R\\xc0\\xc7\\x83-v\\xfb\\xeeB@\\xea\\xe1\\xcbD\\x11\\xf9R\\xc0\\x0c\\xdf\\xc2\\xba\\xf1\\xeeB@ \\xefU+\\x13\\xf9R\\xc0\\x02\\x012t\\xec\\xeeB@\\xd5$xC\\x1a\\xf9R\\xc0\\x10\\x7f\\x14u\\xe6\\xeeB@\\xa6v\\x86\\xa9-\\xf9R\\xc0*\\xdb\\x87\\xbc\\xe5\\xeeB@t\"\\xc1T3\\xf9R\\xc0\\xc1y8\\x81\\xe9\\xeeB@\\x90\\x85\\xe8\\x108\\xf9R\\xc0\\xdcZ&\\xc3\\xf1\\xeeB@\\xa8\\xc7\\xb6\\x0c8\\xf9R\\xc0\\xbd^a\\xc1\\xfd\\xeeB@\\x8e\\x1dT\\xe2:\\xf9R\\xc0\\x92\\x8c\\x9c\\x85=\\xefB@\\xf1\\xe2\\xc4W;\\xf9R\\xc0\\xf2M\\x9a\\x06E\\xefB@\\xd9\\xb3\\xe725\\xf9R\\xc0\\x84\\x934\\x7fL\\xefB@\"J{\\x83/\\xf9R\\xc0\\x05Q\\xf7\\x01H\\xefB@\\xbb\\xcbE|\\'\\xf9R\\xc0\\xb1\\r\\xdc\\x81:\\xefB@\\xea\\xe1\\xcbD\\x11\\xf9R\\xc0\\xc7\\x83-v\\xfb\\xeeB@')", "bytearray(b'\\x01\\x02\\x00\\x00\\x00\\x0c\\x00\\x00\\x00\\xfcO\\xfe\\xee\\x1d&Q\\xc0\\xd7\\x9eY\\x12\\xa0\\x14F@\\x8e\\xaf=\\xb3$&Q\\xc0\\xc9 w\\x11\\xa6\\x14F@\\x99CR\\x0b%&Q\\xc0u\\x92\\xad.\\xa7\\x14F@\\xbc\\xe5\\xea\\xc7&&Q\\xc0r\\xc2\\x84\\xd1\\xac\\x14F@\\xb0k{\\xbb%&Q\\xc0\\xab$\\xb2\\x0f\\xb2\\x14F@S\\xff \\x92!&Q\\xc0\\xb9\\'\\x0f\\x0b\\xb5\\x14F@\\xc7\\\\\\x19T\\x1b&Q\\xc0\\xab$\\xb2\\x0f\\xb2\\x14F@\\x9a&l?\\x19&Q\\xc0\\xc9\\xa5\\xf1\\x0b\\xaf\\x14F@:R}\\xe7\\x17&Q\\xc0h\\x18>\"\\xa6\\x14F@\\x89\\xef\\xc4\\xac\\x17&Q\\xc0W\\xe1\\x96\\x8f\\xa4\\x14F@\\xb6%r\\xc1\\x19&Q\\xc0\\xd5\\x9eY\\x12\\xa0\\x14F@\\xfcO\\xfe\\xee\\x1d&Q\\xc0\\xd7\\x9eY\\x12\\xa0\\x14F@')"]
name: TEXT | NULL | eg=["Atlantic"]

## GEO_US_BOUNDARIES.CONGRESS_DISTRICT_115
congress_session: TEXT | NULL | eg=["115"]
